# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    0.641576577    6.202801762    6.202801731    3.483884262
    0.651585586    6.195757931    6.195757900    3.482734438
    0.661594595    6.188640397    6.188640367    3.481569537
    0.671603604    6.181450132    6.181450101    3.480389614
    0.681612613    6.174188106    6.174188075    3.479194726
    0.691621622    6.166855292    6.166855261    3.477984931
    0.701630631    6.159452664    6.159452633    3.476760287
    0.711639640    6.151981196    6.151981166    3.475520852
    0.721648649    6.144441864    6.144441834    3.474266687
    0.731657658    6.136835642    6.136835612    3.472997851
    0.741666667    6.129163505    6.129163475    3.471714404
    0.751675676    6.121426428    6.121426398    3.470416408
    0.761684685    6.113625384    6.113625355    3.469103923
    0.771693694    6.105761347    6.105761317    3.467777011
    0.781702703    6.097835287    6.097835258    3.466435736
    0.791711712    6.089848175    6.089848146    3.465080159
    0.801720721    6.081800980    6.081800950    3.463710344
    0.811729730    6.073694666    6.073694637    3.462326356
    0.821738739    6.065530199    6.065530170    3.460928258
    0.831747748    6.057308540    6.057308511    3.459516115
    0.841756757    6.049030647    6.049030618    3.458089993
    0.851765766    6.040697478    6.040697449    3.456649956
    0.861774775    6.032309985    6.032309956    3.455196072
    0.871783784    6.023869117    6.023869088    3.453728406
    0.881792793    6.015375820    6.015375792    3.452247026
    0.891801802    6.006831038    6.006831010    3.450751999
    0.901810811    5.998235708    5.998235680    3.449243393
    0.911819820    5.989590765    5.989590737    3.447721275
    0.921828829    5.980897139    5.980897111    3.446185714
    0.931837838    5.972155756    5.972155728    3.444636779
    0.941846847    5.963367537    5.963367509    3.443074540
    0.951855856    5.954533397    5.954533370    3.441499066
    0.961864865    5.945654250    5.945654222    3.439910426
    0.971873874    5.936731000    5.936730972    3.438308691
    0.981882883    5.927764549    5.927764522    3.436693932
    0.991891892    5.918755793    5.918755766    3.435066220
    1.001900901    5.909705623    5.909705595    3.433425626
    1.011909910    5.900614922    5.900614895    3.431772220
    1.021918919    5.891484570    5.891484543    3.430106076
    1.031927928    5.882315440    5.882315413    3.428427265
    1.041936937    5.873108400    5.873108373    3.426735860
    1.051945946    5.863864309    5.863864283    3.425031933
    1.061954955    5.854584025    5.854583998    3.423315558
    1.071963964    5.845268394    5.845268367    3.421586807
    1.081972973    5.835918259    5.835918233    3.419845753
    1.091981982    5.826534457    5.826534431    3.418092472
    1.101990991    5.817117816    5.817117790    3.416327036
    1.112000000    5.807669160    5.807669134    3.414549519
    1.122009009    5.798189304    5.798189278    3.412759996
    1.132018018    5.788679058    5.788679032    3.410958542
    1.142027027    5.779139224    5.779139198    3.409145231
    1.152036036    5.769570598    5.769570572    3.407320138
    1.162045045    5.759973969    5.759973943    3.405483338
    1.172054054    5.750350117    5.750350092    3.403634907
    1.182063063    5.740699819    5.740699794    3.401774920
    1.192072072    5.731023841    5.731023816    3.399903453
    1.202081081    5.721322944    5.721322919    3.398020581
    1.212090090    5.711597882    5.711597857    3.396126380
    1.222099099    5.701849399    5.701849374    3.394220927
    1.232108108    5.692078235    5.692078211    3.392304298
    1.242117117    5.682285123    5.682285098    3.390376569
    1.252126126    5.672470785    5.672470760    3.388437816
    1.262135135    5.662635938    5.662635914    3.386488116
    1.272144144    5.652781294    5.652781269    3.384527546
    1.282153153    5.642907553    5.642907528    3.382556182
    1.292162162    5.633015410    5.633015386    3.380574101
    1.302171171    5.623105554    5.623105530    3.378581381
    1.312180180    5.613178664    5.613178641    3.376578098
    1.322189189    5.603235414    5.603235390    3.374564329
    1.332198198    5.593276468    5.593276444    3.372540152
    1.342207207    5.583302484    5.583302461    3.370505643
    1.352216216    5.573314114    5.573314091    3.368460879
    1.362225225    5.563312001    5.563311977    3.366405939
    1.372234234    5.553296779    5.553296756    3.364340899
    1.382243243    5.543269079    5.543269055    3.362265837
    1.392252252    5.533229520    5.533229497    3.360180830
