# energy grid [eV]     epsr_x  epsr_y  epsr_z
# plasmon frequences [eV]:     9.527648031    9.527648024    9.893346702
    0.821738739    7.377876474    7.377876377    4.053956523
    0.831747748    7.390118891    7.390118793    4.055520747
    0.841756757    7.402590561    7.402590463    4.057106320
    0.851765766    7.415295522    7.415295425    4.058713337
    0.861774775    7.428237954    7.428237856    4.060341894
    0.871783784    7.441422179    7.441422081    4.061992090
    0.881792793    7.454852673    7.454852575    4.063664023
    0.891801802    7.468534072    7.468533973    4.065357795
    0.901810811    7.482471177    7.482471078    4.067073509
    0.911819820    7.496668963    7.496668865    4.068811270
    0.921828829    7.511132590    7.511132491    4.070571185
    0.931837838    7.525867405    7.525867306    4.072353361
    0.941846847    7.540878958    7.540878859    4.074157909
    0.951855856    7.556173008    7.556172908    4.075984941
    0.961864865    7.571755535    7.571755435    4.077834570
    0.971873874    7.587632749    7.587632648    4.079706913
    0.981882883    7.603811104    7.603811004    4.081602087
    0.991891892    7.620297312    7.620297211    4.083520211
    1.001900901    7.637098351    7.637098250    4.085461407
    1.011909910    7.654221486    7.654221384    4.087425798
    1.021918919    7.671674278    7.671674177    4.089413511
    1.031927928    7.689464607    7.689464505    4.091424673
    1.041936937    7.707600684    7.707600582    4.093459414
    1.051945946    7.726091073    7.726090970    4.095517865
    1.061954955    7.744944711    7.744944608    4.097600161
    1.071963964    7.764170929    7.764170826    4.099706437
    1.081972973    7.783779475    7.783779372    4.101836833
    1.091981982    7.803780543    7.803780440    4.103991489
    1.101990991    7.824184796    7.824184692    4.106170549
    1.112000000    7.845003394    7.845003290    4.108374157
    1.122009009    7.866248034    7.866247930    4.110602461
    1.132018018    7.887930976    7.887930871    4.112855613
    1.142027027    7.910065082    7.910064977    4.115133763
    1.152036036    7.932663862    7.932663756    4.117437069
    1.162045045    7.955741508    7.955741402    4.119765687
    1.172054054    7.979312952    7.979312845    4.122119778
    1.182063063    8.003393909    8.003393802    4.124499504
    1.192072072    8.028000940    8.028000833    4.126905032
    1.202081081    8.053151510    8.053151402    4.129336530
    1.212090090    8.078864055    8.078863947    4.131794170
    1.222099099    8.105158060    8.105157952    4.134278124
    1.232108108    8.132054134    8.132054025    4.136788571
    1.242117117    8.159574103    8.159573994    4.139325690
    1.252126126    8.187741106    8.187740997    4.141889664
    1.262135135    8.216579703    8.216579592    4.144480678
    1.272144144    8.246115991    8.246115880    4.147098923
    1.282153153    8.276377739    8.276377628    4.149744590
    1.292162162    8.307394532    8.307394421    4.152417874
