# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    1.262135135    0.146967586    0.146967583    0.013019213
    1.272144144    0.150600745    0.150600743    0.013155851
    1.282153153    0.154384441    0.154384439    0.013293460
    1.292162162    0.158329005    0.158329003    0.013432056
    1.302171171    0.162445740    0.162445737    0.013571656
    1.312180180    0.166747036    0.166747033    0.013712277
    1.322189189    0.171246505    0.171246503    0.013853935
    1.332198198    0.175959133    0.175959130    0.013996650
    1.342207207    0.180901453    0.180901450    0.014140438
    1.352216216    0.186091752    0.186091749    0.014285319
    1.362225225    0.191550302    0.191550299    0.014431310
    1.372234234    0.197299637    0.197299634    0.014578432
    1.382243243    0.203364867    0.203364864    0.014726704
    1.392252252    0.209774053    0.209774049    0.014876145
    1.402261261    0.216558642    0.216558639    0.015026776
    1.412270270    0.223753987    0.223753984    0.015178618
    1.422279279    0.231399951    0.231399947    0.015331693
    1.432288288    0.239541635    0.239541631    0.015486022
    1.442297297    0.248230244    0.248230240    0.015641626
    1.452306306    0.257524123    0.257524119    0.015798530
    1.462315315    0.267490010    0.267490006    0.015956756
    1.472324324    0.278204547    0.278204542    0.016116328
    1.482333333    0.289756122    0.289756117    0.016277270
    1.492342342    0.302247129    0.302247124    0.016439606
    1.502351351    0.315796741    0.315796735    0.016603364
    1.512360360    0.330544344    0.330544338    0.016768568
    1.522369369    0.346653827    0.346653821    0.016935245
    1.532378378    0.364318950    0.364318944    0.017103422
    1.542387387    0.383770129    0.383770122    0.017273127
    1.552396396    0.405283066    0.405283059    0.017444389
    1.562405405    0.429189810    0.429189803    0.017617237
    1.572414414    0.455893040    0.455893032    0.017791701
    1.582423423    0.485884660    0.485884652    0.017967812
    1.592432432    0.519770210    0.519770201    0.018145601
    1.602441441    0.558301173    0.558301164    0.018325100
    1.612450450    0.602418096    0.602418086    0.018506344
    1.622459459    0.653308587    0.653308577    0.018689364
    1.632468468    0.712485926    0.712485914    0.018874197
    1.642477477    0.781896206    0.781896194    0.019060879
    1.652486486    0.864064934    0.864064921    0.019249445
    1.662495495    0.962297442    0.962297427    0.019439934
    1.672504505    1.080950648    1.080950633    0.019632384
    1.682513514    1.225793345    1.225793327    0.019826835
    1.692522523    1.404459617    1.404459597    0.020023329
    1.702531532    1.626952361    1.626952338    0.020221906
    1.712540541    1.906015138    1.906015112    0.020422610
    1.722549550    2.256836930    2.256836900    0.020625486
    1.732558559    2.694757945    2.694757910    0.020830579
    1.742567568    3.228193720    3.228193679    0.021037936
    1.752576577    3.842601869    3.842601821    0.021247606
    1.762585586    4.474533623    4.474533568    0.021459638
    1.772594595    4.993058666    4.993058606    0.021674084
    1.782603604    5.234693535    5.234693471    0.021890996
    1.792612613    5.110358649    5.110358585    0.022110430
    1.802621622    4.683504493    4.683504432    0.022332440
    1.812630631    4.113974378    4.113974321    0.022557086
    1.822639640    3.545208819    3.545208764    0.022784426
    1.832648649    3.054226808    3.054226754    0.023014523
    1.842657658    2.664222214    2.664222160    0.023247439
    1.852666667    2.371458846    2.371458790    0.023483242
    1.862675676    2.163536799    2.163536739    0.023721998
    1.872684685    2.028026101    2.028026034    0.023963778
    1.882693694    1.955650564    1.955650487    0.024208655
    1.892702703    1.941143328    1.941143237    0.024456703
    1.902711712    1.983315762    1.983315654    0.024708000
    1.912720721    2.084896671    2.084896541    0.024962626
    1.922729730    2.252088421    2.252088260    0.025220665
    1.932738739    2.493164004    2.493163807    0.025482203
    1.942747748    2.814460324    2.814460089    0.025747330
    1.952756757    3.210883564    3.210883294    0.026016137
    1.962765766    3.648557919    3.648557640    0.026288722
    1.972774775    4.046076943    4.046076706    0.026565184
    1.982783784    4.282315394    4.282315261    0.026845627
