 &plot nbnd=  20, nks=   121 /
            0.000000  0.000000  0.000000
  -61.106  -35.238  -35.033  -35.033  -14.292  -12.987   -5.810   -2.818   -2.818   -1.980
   -1.714   -1.714   -0.211    2.547    2.547    2.796    2.796    5.064    5.436    5.909
            0.012500  0.007217  0.000000
  -61.106  -35.238  -35.034  -35.033  -14.290  -12.987   -5.807   -2.823   -2.815   -2.006
   -1.718   -1.692   -0.212    2.543    2.551    2.789    2.793    5.068    5.439    5.919
            0.025000  0.014434  0.000000
  -61.106  -35.237  -35.035  -35.034  -14.283  -12.984   -5.799   -2.840   -2.808   -2.067
   -1.730   -1.641   -0.215    2.532    2.564    2.767    2.785    5.081    5.448    5.946
            0.037500  0.021651  0.000000
  -61.105  -35.237  -35.038  -35.034  -14.271  -12.979   -5.786   -2.867   -2.796   -2.144
   -1.749   -1.580   -0.220    2.513    2.586    2.732    2.772    5.102    5.463    5.991
            0.050000  0.028868  0.000000
  -61.105  -35.236  -35.042  -35.035  -14.255  -12.972   -5.767   -2.904   -2.779   -2.229
   -1.776   -1.520   -0.227    2.489    2.615    2.685    2.753    5.130    5.485    6.051
            0.062500  0.036084  0.000000
  -61.105  -35.235  -35.048  -35.036  -14.234  -12.964   -5.743   -2.950   -2.757   -2.318
   -1.809   -1.462   -0.238    2.462    2.629    2.651    2.729    5.164    5.512    6.123
            0.075000  0.043301  0.000000
  -61.104  -35.234  -35.054  -35.038  -14.209  -12.953   -5.715   -3.005   -2.731   -2.409
   -1.848   -1.411   -0.251    2.433    2.565    2.694    2.702    5.204    5.545    6.203
            0.087500  0.050518  0.000000
  -61.103  -35.232  -35.061  -35.039  -14.180  -12.941   -5.682   -3.067   -2.701   -2.503
   -1.892   -1.366   -0.269    2.405    2.497    2.670    2.743    5.250    5.584    6.285
            0.100000  0.057735  0.000000
  -61.102  -35.231  -35.069  -35.041  -14.146  -12.927   -5.644   -3.137   -2.666   -2.597
   -1.942   -1.329   -0.290    2.380    2.426    2.635    2.797    5.301    5.629    6.368
            0.112500  0.064952  0.000000
  -61.102  -35.229  -35.078  -35.043  -14.108  -12.912   -5.604   -3.211   -2.693   -2.626
   -1.996   -1.301   -0.317    2.355    2.359    2.596    2.855    5.356    5.680    6.448
            0.125000  0.072169  0.000000
  -61.101  -35.227  -35.088  -35.046  -14.066  -12.895   -5.560   -3.290   -2.790   -2.583
   -2.053   -1.282   -0.349    2.285    2.345    2.556    2.917    5.416    5.736    6.525
            0.137500  0.079386  0.000000
  -61.099  -35.225  -35.099  -35.048  -14.020  -12.876   -5.513   -3.372   -2.887   -2.536
   -2.113   -1.273   -0.386    2.220    2.339    2.514    2.981    5.481    5.798    6.601
            0.150000  0.086603  0.000000
  -61.098  -35.222  -35.111  -35.051  -13.971  -12.855   -5.465   -3.456   -2.985   -2.486
   -2.175   -1.274   -0.430    2.159    2.342    2.471    3.047    5.551    5.865    6.676
            0.162500  0.093819  0.000000
  -61.097  -35.220  -35.123  -35.054  -13.918  -12.834   -5.416   -3.541   -3.083   -2.432
   -2.239   -1.283   -0.479    2.106    2.355    2.427    3.114    5.625    5.937    6.753
            0.175000  0.101036  0.000000
